date,total_bgc_profiles,dmqc_bgc_profiles,percent_dmqc,adjusted_doxy_profiles,percent_adjusted,eligible_profiles
2024-04-12,7985,2034,25.835132732122442,1374,17.452051314619585,7873
2024-04-13,7990,2034,25.81873571972582,1374,17.44097486671744,7878
2024-04-14,7993,2034,25.808907499048345,1374,17.4343357441949,7881
2024-04-15,7996,2034,25.799086757990867,1374,17.427701674277017,7884
2024-04-16,8000,2034,25.786004056795132,1374,17.418864097363084,7888
2024-04-17,8006,2034,25.766404864454017,1374,17.405624524955662,7894
2024-04-18,8012,2034,25.746835443037973,1374,17.39240506329114,7900
2024-04-19,8028,2034,25.69479535118747,1374,17.357251136937847,7916
2024-04-20,8034,2034,25.675334511486998,1374,17.344105023983843,7922
2024-04-21,8037,2034,25.665615141955836,1374,17.337539432176655,7925
2024-04-22,8044,2034,25.642965204236006,1374,17.322239031770046,7932
2024-04-23,8048,2034,25.630040322580644,1374,17.313508064516128,7936
2024-04-24,8052,2034,25.61712846347607,1374,17.30478589420655,7940
2024-04-25,8053,2034,25.61390253116736,1374,17.30260672459388,7941
2024-04-26,8058,2034,25.5977850490813,1374,17.291719103951674,7946
2024-04-27,8061,2034,25.58812429236382,1374,17.285193106051075,7949
2024-04-28,8065,2034,25.575254620897773,1374,17.276499434175783,7953
2024-04-29,8067,2034,25.56882463859208,1374,17.27215587680704,7955
2024-04-30,8072,2034,25.55276381909548,1374,17.261306532663315,7960
2024-05-01,8074,2034,25.546345139412207,1374,17.256970610399396,7962
2024-05-02,8075,2034,25.543137008665077,1374,17.254803466030392,7963
